Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Trachylepis occidentalis,Trachylepis,Scincidae,"Africa-X, 1969-1970",21.4,-27.34,16.35,NA,1,89,NA,1,83,32,4,1,Oviparous,1,1,0.1774,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis quinquetaeniata,Trachylepis,Scincidae,"Livingstone, Zambia",25.86,-17.86,NA,NA,NA,96.6,NA,NA,87,NA,4.8,NA,Oviparous,NA,2,NA,Active,Tropical,Saxicolous,(Simbotwe 1980)
Trachylepis spilogaster,Trachylepis,Scincidae,"Africa, 1969-1970",21.65,-26.49,10,2.57,39,72.4,5.2,39,60,26,4.21,39,Viviparous,NA,1,0.2084,Active,Temperate,Arboreal,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Rukwa Valley, Southwest Tanganyika",32,-8,NA,NA,NA,70,NA,NA,62,NA,7,NA,Viviparous,NA,NA,NA,Active,Tropical,Terrestrial,(Robertson et al. 1965)
Trachylepis striata,Trachylepis,Scincidae,"Livingstone, Zambia",25.86,-17.86,NA,NA,NA,78.1,NA,NA,61,NA,4.2,NA,Viviparous,2,2,NA,Active,Tropical,Terrestrial,(Simbotwe 1980)
Trachylepis striata,Trachylepis,Scincidae,"Africa, 1969-1970",21.25,-27.03,18.8,4.53,48,88.8,6.98,48,73,30,5.63,48,Viviparous,NA,1,0.2387,Active,Temperate,Arboreal,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-B, 1969-1970",20.45,-27,18.4,3.66,10,86.4,6.64,10,73,30,5.9,10,Oviparous,1,1,0.2628,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-G, 1969-1970",22.26,-28.21,19.9,NA,NA,88,NA,NA,73,30,7,2,Oviparous,1,1,0.278,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-K, 1969-1970",20.6,-25.78,18.87,3.49,11,92.2,5.51,11,73,30,5.45,11,Oviparous,1,1,0.2164,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-L, 1969-1970",20.75,-26.35,18.31,4.7,17,86.9,7.14,17,73,30,5.12,17,Oviparous,1,1,0.2248,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-M, 1969-1970",19.84,-26.33,22.56,5.36,5,94,7.71,5,73,30,7,5,Oviparous,1,1,0.2692,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Trachylepis striata,Trachylepis,Scincidae,"Africa-X, 1969-1970",21.4,-27.34,14.1,1.73,2,83,0,2,73,30,4,2,Oviparous,1,1,0.203,Active,Temperate,Terrestrial,(Pianka et al. 1979)
